year,position,artist,song,indicativerevenue,us,uk,de,fr,ca,au
"2000","1","Faith Hill","Breathe","24030.051","2","33","-","-","-","23"
"2000","2","Santana & The Product G","Maria Maria","23320.084","1","6","1","1","1","49"
"2001","1","Lifehouse","Hanging By A Moment","24095.795","2","25","62","-","-","1"
"2001","2","Alicia Keys","Fallin'","20267.524","1","3","2","10","-","7"
"2002","1","P Diddy, Usher & Loon","I Need A Girl","27244.347","2","4","8","9","-","5"
"2002","2","Nickelback","How You Remind Me","22811.430","1","4","3","11","-","4"
"2003","1","50 Cent","In Da Club","22899.270","1","3","1","16","-","1"
"2003","2","Sean Paul","Get Busy","20756.333","1","4","3","8","-","4"
"2004","1","Usher, Lil' Jon & Ludacris","Yeah!","30041.729","1","1","1","1","-","1"
"2004","2","Maroon 5","This Love","22213.624","5","3","5","6","-","8"
"2005","1","Mariah Carey","We Belong Together","23175.995","1","2","11","12","-","1"
"2005","2","Kelly Clarkson","Since U Been Gone","21224.058","2","5","6","-","-","3"
"2006","1","Shakira & Wyclef Jean","Hips Don't Lie","19843.619","1","1","1","1","-","1"
"2006","2","Gnarls Barkley","Crazy","18133.526","2","1","3","3","-","2"
"2007","1","Rihanna & Jay-Z","Umbrella","20129.487","1","1","1","6","1","1"
"2007","2","Fergie","Big Girls Don't Cry (Personal)","18440.471","1","2","6","11","1","1"
"2008","1","Leona Lewis","Bleeding Love","19300.852","1","2","1","1","1","1"
"2008","2","Timbaland & OneRepublic","Apologize","15692.962","3","4","1","7","1","1"
"2009","1","Lady GaGa","Poker Face","19588.314","1","1","1","1","1","1"
"2009","2","The Black Eyed Peas","I Gotta Feeling","14832.233","1","1","3","2","1","1"
"2010","1","Ke$ha","Tik-Toc","11672.204","1","4","1","1","1","1"
"2010","2","Lady GaGa","Bad Romance","10495.879","2","1","1","1","1","2"
